DataHora,Símbolo,Tipo,Estratégia,Lucro/Prejuízo
2025-07-17 09:36:10,WDO,VENDA,DolarInteligente,360.00
2025-07-17 10:02:01,WDO,COMPRA,DolarInteligente,-65.00
2025-07-17 10:06:00,WDO,VENDA,DolarInteligente,-180.00
2025-07-17 10:19:02,WDO,COMPRA,DolarInteligente,-25.00
2025-07-17 10:34:02,WDO,VENDA,DolarInteligente,20.00
2025-07-17 11:17:01,WDO,VENDA,DolarInteligente,340.00
2025-07-17 11:51:00,WDO,COMPRA,DolarInteligente,-45.00
2025-07-17 12:06:41,WDO,VENDA,DolarInteligente,-130.00
2025-07-17 12:16:02,WDO,COMPRA,DolarInteligente,-15.00
2025-07-17 12:39:01,WDO,VENDA,DolarInteligente,40.00
